location,seal_count,seal_type,closest_station_name,date,rainfall,maxt,mint,wdsp,eastings,northings,lat,long,county
Inch,1,Harbour,DEREEN,17/08/2003,1.1,20.1,14.4,,64700,94800,52.08908,-9.97474,Kerry
Inch,8,Harbour,CLOGHANE,17/08/2003,1.1,20.1,14.4,,71900,98900,52.12762,-9.87129,Kerry
Dalkey Is,2,Grey,M.BALLINGEARY (Tooreenaneen),20/08/2003,0,22.7,12.7,,328000,226200,53.27094,-6.08213,Dublin
Dalkey Is,2,Grey,LAHERDANE (Cum),20/08/2003,0,22.7,12.7,,328400,226600,53.27444,-6.07597,Dublin
Dalkey Is,4,Grey,LAHERDANE (Cum),20/08/2003,0,22.7,12.7,,328300,226700,53.27536,-6.07743,Dublin
Dalkey Is,8,Grey,LAHERDANE (Cum),20/08/2003,0,22.7,12.7,,327500,226700,53.27555,-6.08942,Dublin
Dungarvan,1,Harbour,DEREEN,19/08/2003,0,20,12.6,,230300,92100,52.08052,-7.55876,Waterford
Dungloe Bay,13,Harbour,KNOCKANORE,12/08/2003,4.2,,,,171800,414300,54.97543,-8.44113,Donegal
Dungloe Bay,9,Harbour,YOUGHAL (Glendine W.W.),12/08/2003,4.2,,,,172100,414100,54.97365,-8.43643,Donegal
Dungloe Bay,6,Harbour,YOUGHAL (Glendine W.W.),12/08/2003,4.2,,,,172200,413700,54.97006,-8.43483,Donegal
Dungloe Bay,4,Harbour,YOUGHAL (Glendine W.W.),12/08/2003,4.2,,,,172500,412800,54.96199,-8.43006,Donegal
Dungloe Bay,3,Harbour,YOUGHAL (Glendine W.W.),12/08/2003,4.2,,,,172700,412400,54.95841,-8.4269,Donegal
Dungloe Bay,7,Harbour,YOUGHAL (Glendine W.W.),12/08/2003,4.2,,,,172800,412400,54.95842,-8.42534,Donegal
Dungloe Bay,19,Harbour,CAHIR (Voc.Sch.),12/08/2003,4.2,,,,172800,411700,54.95213,-8.42527,Donegal
Dungloe Bay,8,Harbour,CAHIR (Voc.Sch.),12/08/2003,4.2,,,,172600,411700,54.95212,-8.42839,Donegal
Dungloe Bay,3,Harbour,CAHIR (Voc.Sch.),12/08/2003,4.2,,,,172500,411700,54.95211,-8.42995,Donegal
Dungloe Bay,9,Harbour,CAHIR (Voc.Sch.),12/08/2003,4.2,,,,172400,411600,54.95121,-8.4315,Donegal
Dungloe Bay,3,Harbour,CAHIR (Voc.Sch.),12/08/2003,4.2,,,,172200,411100,54.94671,-8.43458,Donegal
Dungloe Bay,12,Harbour,DROMOD (Ruskey),12/08/2003,4.2,,,,172600,410500,54.94134,-8.42828,Donegal
Dungloe Bay,28,Harbour,YOUGHAL (Glendine W.W.),12/08/2003,4.2,,,,173700,412300,54.95757,-8.41128,Donegal
Dungloe Bay,4,Harbour,CAHIR (Voc.Sch.),12/08/2003,4.2,,,,173600,411800,54.95307,-8.4128,Donegal
Dungloe Bay,9,Harbour,CAHIR (Voc.Sch.),12/08/2003,4.2,,,,173700,411700,54.95218,-8.41123,Donegal
Dungloe Bay,5,Harbour,CAHIR (Voc.Sch.),12/08/2003,4.2,,,,173200,411400,54.94945,-8.419,Donegal
Dungloe Bay,26,Harbour,CAHIR (Voc.Sch.),12/08/2003,4.2,,,,173700,411100,54.94679,-8.41117,Donegal
Dungloe Bay,9,Harbour,CAHIR (Voc.Sch.),12/08/2003,4.2,,,,173700,411800,54.95307,-8.41123,Donegal
Dungloe Bay,3,Harbour,CAHIR (Voc.Sch.),12/08/2003,4.2,,,,174600,411300,54.94863,-8.39714,Donegal
Dungloe Bay,14,Harbour,CAHIR (Voc.Sch.),12/08/2003,4.2,,,,175200,411700,54.95225,-8.38781,Donegal
Dungloe Bay,5,Harbour,CAHIR (Voc.Sch.),12/08/2003,4.2,,,,174700,411300,54.94863,-8.39558,Donegal
Dungloe Bay,19,Harbour,DROMOD (Ruskey),12/08/2003,4.2,,,,173700,410200,54.9387,-8.41109,Donegal
Dungloe Bay,28,Harbour,DROMOD (Ruskey),12/08/2003,4.2,,,,173600,410300,54.9396,-8.41266,Donegal
Lahinch,2,Grey,MAAM VALLEY,16/08/2003,0,,,,109100,186900,52.92556,-9.35234,Clare
Coolieragh Hbr,30,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,19.1,9.4,,90700,50800,51.69954,-9.58164,Cork
Coolieragh Hbr,3,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,19.1,9.4,,90700,50800,51.69954,-9.58164,Cork
Coolieragh Hbr,12,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,19.1,9.4,,90900,50700,51.69868,-9.57871,Cork
Coolieragh Hbr,1,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,19.1,9.4,,93100,52300,51.71347,-9.5474,Cork
Whiddy,21,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,19.1,9.4,,95500,49800,51.69146,-9.51194,Cork
Whiddy,21,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,19.1,9.4,,95600,52500,51.71574,-9.5113,Cork
Yellow Rocks,17,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,19.1,9.4,,95500,53400,51.72381,-9.51302,Cork
Big Point,67,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,19.1,9.4,,93200,53700,51.72607,-9.54638,Cork
Garinish,36,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,19.1,9.4,,93800,55000,51.73786,-9.5381,Cork
Garinish,7,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,19.1,9.4,,94000,55000,51.7379,-9.5352,Cork
Garinish,18,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,19.1,9.4,,93300,56100,51.74765,-9.54567,Cork
Garinish,3,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,19.1,9.4,,93300,55600,51.74316,-9.54552,Cork
Garinish,3,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,19.1,9.4,,93200,55700,51.74404,-9.54699,Cork
Whiddy,1,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,19.1,9.4,,94000,48800,51.6822,-9.53332,Cork
Whiddy,54,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,19.1,9.4,,93400,48500,51.67939,-9.5419,Cork
Whiddy,8,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,19.1,9.4,,93000,48200,51.67662,-9.54759,Cork
Whiddy,34,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,19.1,9.4,,93400,48400,51.67849,-9.54187,Cork
Sheeps Hd,1,Grey,0,18/08/2003,0,,,,72800,33500,51.54036,-9.83413,Cork
Dunmanus,4,Grey,0,18/08/2003,0,,,,85200,35900,51.56458,-9.65627,Cork
Mizen,4,Grey,0,18/08/2003,0,,,,75800,28600,51.49701,-9.78919,Cork
Crook Haven,1,Grey,0,18/08/2003,0,,,,86200,27200,51.48662,-9.63905,Cork
Dunmanus,9,Harbour,0,18/08/2003,0,,,,85200,35900,51.56458,-9.65627,Cork
Dunmanus,14,Harbour,0,18/08/2003,0,,,,85400,35300,51.55923,-9.65319,Cork
Dunmanus,16,Harbour,0,18/08/2003,0,,,,85100,35400,51.56007,-9.65755,Cork
Dunmanus,33,Harbour,0,18/08/2003,0,,,,87200,36500,51.57037,-9.62763,Cork
Dunmanus,4,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,,,,91200,40100,51.6035,-9.57108,Cork
Dunmanus,5,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,,,,91200,39900,51.6017,-9.57102,Cork
Crookhaven,1,Harbour,0,18/08/2003,0,,,,80500,26000,51.47466,-9.72066,Cork
Crookhaven,1,Harbour,0,18/08/2003,0,,,,90800,28600,51.5001,-9.57328,Cork
Inishmurray,59,Grey,FOTA ISLAND (GOLF CLUB),13/08/2003,0,,,,156400,357300,54.46233,-8.67308,Sligo
Inishmurray,4,Grey,FOTA ISLAND (GOLF CLUB),13/08/2003,0,,,,156600,357400,54.46324,-8.67001,Sligo
Inishmurray,32,Grey,FOTA ISLAND (GOLF CLUB),13/08/2003,0,,,,156400,357400,54.46322,-8.67309,Sligo
Inishmurray,8,Grey,FOTA ISLAND (GOLF CLUB),13/08/2003,0,,,,156300,357400,54.46322,-8.67464,Sligo
Inishmurray,6,Grey,FOTA ISLAND (GOLF CLUB),13/08/2003,0,,,,155200,357500,54.46402,-8.69161,Sligo
Dernish Isl,12,Harbour,WATERGRASSHILL (Tinageragh),13/08/2003,0,,,,166900,352200,54.41731,-8.5106,Sligo
Greencastle,2,Harbour,LETTERKENNY (Dromore),12/08/2003,0.7,,,,266900,440900,55.21063,-6.94985,Donegal
